id,Slug,title,Description,Lab description,Html description,Html lab description
55,rounded-inner-flatter-style-wedding-band-wed006,WED006,"Stylish yet traditional, these wedding bands come with a rounded inner to give maximum comfort. A flatter style compared to the more traditional court wedding ring, providing a slightly more contemporary look.","Stylish yet traditional, these wedding bands come with a rounded inner to give maximum comfort. A flatter style compared to the more traditional court wedding ring, providing a slightly more contemporary look.","Stylish yet traditional, these wedding bands come with a rounded inner to give maximum comfort. A flatter style compared to the more traditional court wedding ring, providing a slightly more contemporary look.","Stylish yet traditional, these wedding bands come with a rounded inner to give maximum comfort. A flatter style compared to the more traditional court wedding ring, providing a slightly more contemporary look."
56,chunky-wedding-bands-wed007,WED007,"For an up to the minute look, these chunky wedding bands have a beveled edge to give sharp lines and add two different reflections of light.","For an up to the minute look, these chunky wedding bands have a beveled edge to give sharp lines and add two different reflections of light.","<p>For an up to the minute look, these chunky wedding bands have a beveled edge to give sharp lines and add two different reflections of light.</p>","<p>For an up to the minute look, these chunky wedding bands have a beveled edge to give sharp lines and add two different reflections of light.</p>"
59,court-shape-wedding-ring-wed010,WED010,A court shape ring with a difference. This comfortable traditional court ring has a fine beaded edge to give more of a textured look.,A court shape ring with a difference. This comfortable traditional court ring has a fine beaded edge to give more of a textured look.,<p>A court shape ring with a difference. This comfortable traditional court ring has a fine beaded edge to give more of a textured look.</p>,<p>A court shape ring with a difference. This comfortable traditional court ring has a fine beaded edge to give more of a textured look.</p>
61,court-shape-wedding-ring-wed021,WED021,A court shape ring with a difference. This comfortable traditional court ring has a fine beaded edge to give more of a textured look.,A court shape ring with a difference. This comfortable traditional court ring has a fine beaded edge to give more of a textured look.,<p>A court shape ring with a difference. This comfortable traditional court ring has a fine beaded edge to give more of a textured look.</p>,<p>A court shape ring with a difference. This comfortable traditional court ring has a fine beaded edge to give more of a textured look.</p>
63,d-shaped-wedding-band-wed022,WED022,"This D shaped wedding band offers something a bit different, with a matt finish and a central diamond cut polished line it gives a modern look.","This D shaped wedding band offers something a bit different, with a matt finish and a central diamond cut polished line it gives a modern look.","<p>This D shaped wedding band offers something a bit different, with a matt finish and a central diamond cut polished line it gives a modern look.</p>","<p>This D shaped wedding band offers something a bit different, with a matt finish and a central diamond cut polished line it gives a modern look.</p>"
64,modern-6mm-wedding-band-wed023,WED023,"This modern 6mm wedding band features side set diamonds on both the top and bottom of the band to give an understated glimmer, diamond weight totals 0.38ct. Diamond Colour F-G Clarity VS-SI.","This modern 6mm wedding band features side set diamonds on both the top and bottom of the band to give an understated glimmer, diamond weight totals 0.38ct. Diamond Color D-E Clarity VVS.","<p>This modern 6mm wedding band features side set diamonds on both the top and bottom of the band to give an understated glimmer, diamond weight totals 0.38ct. Diamond Colour F-G Clarity VS-SI.</p>","<p>This modern 6mm wedding band features side set diamonds on both the top and bottom of the band to give an understated glimmer, diamond weight totals 0.38ct. Diamond Color D-E Clarity VVS.</p>"
65,cut-out-diamond-wedding-band-wed026,WED026,"Something a bit different, this matt finished band features a cut out diamond set cross pattern all the way around the band, total diamond weight is 0.42ct. Diamond Colour F-G Clarity VS-SI.","Something a bit different, this matt finished band features a cut out diamond set cross pattern all the way around the band, total diamond weight is 0.42ct. Diamond Color D-E Clarity VVS.","<p>Something a bit different, this matt finished band features a cut out diamond set cross pattern all the way around the band, total diamond weight is 0.42ct. Diamond Colour F-G Clarity VS-SI.</p>","<p>Something a bit different, this matt finished band features a cut out diamond set cross pattern all the way around the band, total diamond weight is 0.42ct. Diamond Color D-E Clarity VVS.</p>"
66,6mm-court-shaped-round-wedding-band-wed027,WED027,This 6mm court shaped band is set with three round brilliant cut diamonds to add a little sparkle to your wedding band. Diamond Colour F-G Clarity VS-SI.,This 6mm court shaped band is set with three round brilliant cut diamonds to add a little sparkle to your wedding band. Diamond Color D-E Clarity VVS.,<p>This 6mm court shaped band is set with three round brilliant cut diamonds to add a little sparkle to your wedding band. Diamond Colour F-G Clarity VS-SI.</p>,<p>This 6mm court shaped band is set with three round brilliant cut diamonds to add a little sparkle to your wedding band. Diamond Color D-E Clarity VVS.</p>
67,5mm-flat-round-cut-diamond-wedding-band-wed028,WED028,This 5mm flat wedding band is set with 12 round brilliant cut diamonds totaling 0.18ct set diagonally in intervals around the band to give a little added sparkle to your regular flat band. Diamond Colour F-G Clarity VS-SI.,This 5mm flat wedding band is set with 12 round brilliant cut diamonds totaling 0.18ct set diagonally in intervals around the band to give a little added sparkle to your regular flat band. Diamond Color D-E Clarity VVS.,<p>This 5mm flat wedding band is set with 12 round brilliant cut diamonds totaling 0.18ct set diagonally in intervals around the band to give a little added sparkle to your regular flat band. Diamond Colour F-G Clarity VS-SI.</p>,<p>This 5mm flat wedding band is set with 12 round brilliant cut diamonds totaling 0.18ct set diagonally in intervals around the band to give a little added sparkle to your regular flat band. Diamond Color D-E Clarity VVS.</p>
68,7mm-princess-cut-diamonds-wedding-band-wed029,WED029,This 7mm wedding band is offset with 0.58ct of princess cut diamonds set 50% of the way around the band giving a wide contemporary look. Diamond Colour F-G Clarity VS-SI.,This 7mm wedding band is offset with 0.58ct of princess cut diamonds set 50% of the way around the band giving a wide contemporary look. Diamond Color D-E Clarity VVS.,<p>This 7mm wedding band is offset with 0.58ct of princess cut diamonds set 50% of the way around the band giving a wide contemporary look. Diamond Colour F-G Clarity VS-SI.</p>,<p>This 7mm wedding band is offset with 0.58ct of princess cut diamonds set 50% of the way around the band giving a wide contemporary look. Diamond Color D-E Clarity VVS.</p>
69,6mm-court-shaped-wedding-band-wed030,WED030,This 6mm court shaped wedding band is matt finished with diamond cut edging and square set with three round brilliant cut diamonds to add a little sparkle to your regular court shaped band. Diamond Colour F-G Clarity VS-SI.,This 6mm court shaped wedding band is matt finished with diamond cut edging and square set with three round brilliant cut diamonds to add a little sparkle to your regular court shaped band. Diamond Color D-E Clarity VVS.,<p>This 6mm court shaped wedding band is matt finished with diamond cut edging and square set with three round brilliant cut diamonds to add a little sparkle to your regular court shaped band. Diamond Colour F-G Clarity VS-SI.</p>,<p>This 6mm court shaped wedding band is matt finished with diamond cut edging and square set with three round brilliant cut diamonds to add a little sparkle to your regular court shaped band. Diamond Color D-E Clarity VVS.</p>
70,women-s-diamond-eternity-ring-et105,Women's Diamond Eternity Ring | ET105,"This is our classic eternity ring, channel set with round brilliant cut diamonds spreading 60% of the way around the band to give a full-set look. Sits perfectly alongside most other rings and can be used as a wedding or eternity band. Diamond colour F, Clarity VS.","This is our classic eternity ring, channel set with round brilliant cut diamonds spreading 60% of the way around the band to give a full-set look. Sits perfectly alongside most other rings and can be used as a wedding or eternity band. Diamond Color D-E Clarity VVS.","<p><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;This is our classic eternity ring, channel set with round brilliant cut diamonds spreading 60% of the way around the band to give a full-set look. Sits perfectly alongside most other rings and can be used as a wedding or eternity band. Diamond colour F, Clarity VS.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:961,&quot;3&quot;:{&quot;1&quot;:0},&quot;9&quot;:1,&quot;10&quot;:1,&quot;11&quot;:4,&quot;12&quot;:0}"">This is our classic eternity ring, channel set with round brilliant cut diamonds spreading 60% of the way around the band to give a full-set look. Sits perfectly alongside most other rings and can be used as a wedding or eternity band. Diamond colour F, Clarity VS.</span></p>","<p><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;This is our classic eternity ring, channel set with round brilliant cut diamonds spreading 60% of the way around the band to give a full-set look. Sits perfectly alongside most other rings and can be used as a wedding or eternity band. Diamond Color D-E Clarity VVS.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:961,&quot;3&quot;:{&quot;1&quot;:0},&quot;9&quot;:1,&quot;10&quot;:1,&quot;11&quot;:4,&quot;12&quot;:0}"">This is our classic eternity ring, channel set with round brilliant cut diamonds spreading 60% of the way around the band to give a full-set look. Sits perfectly alongside most other rings and can be used as a wedding or eternity band. Diamond Color D-E Clarity VVS.</span></p>"
85,women-s-plain-wedding-ring-wed009,Women's Plain Wedding Ring | WED009,This wedding band is shaped to fit specifically next to your shaped engagement ring.,This wedding band is shaped to fit specifically next to your shaped engagement ring.,<p>This wedding band is shaped to fit specifically next to your shaped engagement ring.</p>,<p>This wedding band is shaped to fit specifically next to your shaped engagement ring.</p>
86,women-s-wedding-ring-wed008,Women's Wedding Ring | WED008,This wedding band tapers into the centre to sit perfectly alongside some of our twist engagement rings.,This wedding band tapers into the centre to sit perfectly alongside some of our twist engagement rings.,<p>This wedding band tapers into the centre to sit perfectly alongside some of our twist engagement rings.</p><p></p>,<p>This wedding band tapers into the centre to sit perfectly alongside some of our twist engagement rings.</p><p></p>
87,womens-diamond-eternity-ring-et101,Womens Diamond Eternity Ring | ET101,"This is our classic eternity ring, channel set with 0.25ct of round brilliant cut diamonds spreading 40% of the way around the band. Sits perfectly alongside most other rings and can be used as a wedding or eternity band. Diamond colour F, Clarity VS.","This is our classic eternity ring, channel set with 0.25ct of round brilliant cut diamonds spreading 40% of the way around the band. Sits perfectly alongside most other rings and can be used as a wedding or eternity band. Diamond Color D-E Clarity VVS.","<p>This is our classic eternity ring, channel set with 0.25ct of round brilliant cut diamonds spreading 40% of the way around the band. Sits perfectly alongside most other rings and can be used as a wedding or eternity band. Diamond colour F, Clarity VS.</p><p></p>","<p>This is our classic eternity ring, channel set with 0.25ct of round brilliant cut diamonds spreading 40% of the way around the band. Sits perfectly alongside most other rings and can be used as a wedding or eternity band. Diamond Color D-E Clarity VVS.</p><p></p>"
89,womens-diamond-eternity-ring-et103,Womens Diamond Eternity Ring | ET103,"This is our classic eternity ring, channel set with round brilliant cut diamonds spreading 40% of the way around the band. Sits perfectly alongside most other rings and can be used as a wedding or eternity band. Diamond colour F, Clarity VS.","This is our classic eternity ring, channel set with round brilliant cut diamonds spreading 40% of the way around the band. Sits perfectly alongside most other rings and can be used as a wedding or eternity band. Diamond Color D-E Clarity VVS.","<p>This is our classic eternity ring, channel set with round brilliant cut diamonds spreading 40% of the way around the band. Sits perfectly alongside most other rings and can be used as a wedding or eternity band. Diamond colour F, Clarity VS.</p><p></p>","<p>This is our classic eternity ring, channel set with round brilliant cut diamonds spreading 40% of the way around the band. Sits perfectly alongside most other rings and can be used as a wedding or eternity band. Diamond Color D-E Clarity VVS.</p><p></p>"
90,womens-diamond-eternity-ring-et104,Womens Diamond Eternity Ring | ET104,"This is our classic eternity ring, channel set with 0.25ct of round brilliant cut diamonds spreading 60% of the way around the band to give a full-set look. Sits perfectly alongside most other rings and can be used as a wedding or eternity band. Diamond colour F, Clarity VS.","This is our classic eternity ring, channel set with 0.25ct of round brilliant cut diamonds spreading 60% of the way around the band to give a full-set look. Sits perfectly alongside most other rings and can be used as a wedding or eternity band. Diamond Color D-E Clarity VVS.","<p><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;This is our classic eternity ring, channel set with 0.25ct of round brilliant cut diamonds spreading 60% of the way around the band to give a full-set look. Sits perfectly alongside most other rings and can be used as a wedding or eternity band. Diamond colour F, Clarity VS.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:6915,&quot;3&quot;:{&quot;1&quot;:0},&quot;4&quot;:[null,2,15724527],&quot;11&quot;:4,&quot;12&quot;:0,&quot;14&quot;:[null,2,0],&quot;15&quot;:&quot;\&quot;PT Sans\&quot;, Arial, Verdana, sans-serif&quot;}"">This is our classic eternity ring, channel set with 0.25ct of round brilliant cut diamonds spreading 60% of the way around the band to give a full-set look. Sits perfectly alongside most other rings and can be used as a wedding or eternity band. Diamond colour F, Clarity VS.</span></p><p></p>","<p><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;This is our classic eternity ring, channel set with 0.25ct of round brilliant cut diamonds spreading 60% of the way around the band to give a full-set look. Sits perfectly alongside most other rings and can be used as a wedding or eternity band. Diamond Color D-E Clarity VVS.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:6915,&quot;3&quot;:{&quot;1&quot;:0},&quot;4&quot;:[null,2,15724527],&quot;11&quot;:4,&quot;12&quot;:0,&quot;14&quot;:[null,2,0],&quot;15&quot;:&quot;\&quot;PT Sans\&quot;, Arial, Verdana, sans-serif&quot;}"">This is our classic eternity ring, channel set with 0.25ct of round brilliant cut diamonds spreading 60% of the way around the band to give a full-set look. Sits perfectly alongside most other rings and can be used as a wedding or eternity band. Diamond Color D-E Clarity VVS.</span></p><p></p>"
234,wedding-band,Wedding Band,"Vintage style band set with round brilliant cut diamonds, with a mill-grain edge, and a ribbon-twist that sits with a vast range of engagement rings. 0.12ct.","Vintage style band set with round brilliant cut diamonds, with a mill-grain edge, and a ribbon-twist that sits with a vast range of engagement rings. 0.12ct.","<p>Vintage style band set with round brilliant cut diamonds, with a mill-grain edge, and a ribbon-twist that sits with a vast range of engagement rings. 0.12ct.<br></p>","<p>Vintage style band set with round brilliant cut diamonds, with a mill-grain edge, and a ribbon-twist that sits with a vast range of engagement rings. 0.12ct.<br></p>"
244,women-s-diamond-wedding-ring-wed040,Women's Diamond Wedding Ring | WED040,Ribbon-twist band set with round grain-set diamonds that will sit elegantly next to a solitaire ring.,Ribbon-twist band set with round grain-set diamonds that will sit elegantly next to a solitaire ring.,<p>Ribbon-twist band set with round grain-set diamonds that will sit elegantly next to a solitaire ring.<br></p>,<p>Ribbon-twist band set with round grain-set diamonds that will sit elegantly next to a solitaire ring.<br></p>
245,women-s-diamond-wedding-ring-wed040-1,Women's Diamond Wedding Ring | WED040,Ribbon-twist band set with round grain-set diamonds that will sit elegantly next to a solitaire ring.,Ribbon-twist band set with round grain-set diamonds that will sit elegantly next to a solitaire ring.,<p>Ribbon-twist band set with round grain-set diamonds that will sit elegantly next to a solitaire ring.<br></p>,<p>Ribbon-twist band set with round grain-set diamonds that will sit elegantly next to a solitaire ring.<br></p>
246,rare-old-unheated-ceylon-sapphire-ring,RARE OLD UNHEATED CEYLON SAPPHIRE RING,"A stunning long emerald cut blue sapphire of Ceylon Origin. The sapphire is unheated and untreated, as mined, certified","A stunning long emerald cut blue sapphire of Ceylon Origin. The sapphire is unheated and untreated, as mined, certified","<p>A stunning long emerald cut blue sapphire of Ceylon Origin. The sapphire is unheated and untreated, as mined, certified<br></p>","<p>A stunning long emerald cut blue sapphire of Ceylon Origin. The sapphire is unheated and untreated, as mined, certified<br></p>"
